unix_ms,trial_index,trial_name
1754512089051,-1,Calibration
1754512250226,0,Free_10d
1754512372471,1,Free_20d
1754512443786,2,Restricted_10d
1754512526305,3,Restricted_30d
1754512591672,4,Restricted_20d
1754512669582,5,Free_30d
1754512753480,6,Free_40d
1754512866606,7,Restricted_40d
