unix_ms,trial_index,trial_name
1754442476206,-1,Calibration
1754442487342,0,Restricted_40d
1754442531203,1,Restricted_30d
1754442582024,2,Free_40d
1754442634050,3,Free_10d
1754442684594,4,Free_20d
1754442732219,5,Restricted_10d
1754442779923,6,Free_30d
1754442827537,7,Restricted_20d
