unix_ms,trial_index,trial_name
1754514547310,-1,Calibration
1754514599294,0,Restricted_10d
1754514670175,1,Restricted_40d
1754514747406,2,Free_40d
1754514822742,3,Restricted_20d
1754514903738,4,Restricted_30d
1754514981312,5,Free_30d
1754515059088,6,Free_20d
1754515130047,7,Free_10d
